source sink weight
0 3 10.0
1 11 10.0
3 33 10.0
4 10 10.0
5 43 10.0
6 16 10.0
7 35 10.0
8 32 10.0
9 20 10.0
10 16 10.0
11 48 10.0
12 9 10.0
13 11 10.0
14 25 10.0
15 1 10.0
16 28 10.0
17 4 10.0
18 10 10.0
19 3 10.0
20 40 10.0
21 44 10.0
22 7 10.0
23 14 10.0
24 49 10.0
25 44 10.0
26 19 10.0
27 3 10.0
28 45 10.0
29 43 10.0
30 9 10.0
31 0 10.0
32 39 10.0
33 12 10.0
34 33 10.0
35 46 10.0
36 5 10.0
37 43 10.0
38 46 10.0
39 34 10.0
40 23 10.0
41 31 10.0
42 24 10.0
43 33 10.0
44 34 10.0
45 31 10.0
46 31 10.0
47 6 10.0
48 9 10.0
49 46 10.0
