source sink weight
0 44 10.0
1 7 10.0
2 31 10.0
3 43 10.0
5 19 10.0
6 28 10.0
7 37 10.0
8 6 10.0
9 47 10.0
10 18 10.0
11 22 10.0
12 16 10.0
13 34 10.0
14 20 10.0
15 1 10.0
16 5 10.0
17 38 10.0
18 7 10.0
19 27 10.0
20 7 10.0
21 19 10.0
22 26 10.0
23 5 10.0
24 1 10.0
25 45 10.0
26 0 10.0
27 14 10.0
28 14 10.0
29 3 10.0
30 32 10.0
31 25 10.0
32 47 10.0
33 26 10.0
34 27 10.0
35 5 10.0
36 38 10.0
37 42 10.0
38 13 10.0
39 45 10.0
40 18 10.0
41 22 10.0
42 6 10.0
43 20 10.0
44 22 10.0
45 0 10.0
46 27 10.0
47 8 10.0
48 9 10.0
49 16 10.0
